municipio_ceasa;cod_ibge_municipio;uf_ceasa;dsc_ceasa;dsc_produto;sig_unidade_medida;data_preco;preco_diario
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2023/02/01 00:00:00.000;4.6
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2023/02/03 00:00:00.000;4.6
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2023/01/16 00:00:00.000;4.6
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2023/01/20 00:00:00.000;4.57
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/12/09 00:00:00.000;7.93
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/12/14 00:00:00.000;7.93
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/12/12 00:00:00.000;7.93
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/12/05 00:00:00.000;8.2
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/12/01 00:00:00.000;8.2
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/12/07 00:00:00.000;7.93
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/12/16 00:00:00.000;7.93
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/12/19 00:00:00.000;7.93
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/12/21 00:00:00.000;7.93
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/12/23 00:00:00.000;7.14
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2023/02/15 00:00:00.000;4.37
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2023/03/01 00:00:00.000;5.15
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2023/02/08 00:00:00.000;4.45
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2023/02/10 00:00:00.000;4.4
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2023/02/17 00:00:00.000;4.35
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2023/02/22 00:00:00.000;4.32
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2023/02/27 00:00:00.000;4.32
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2023/02/20 00:00:00.000;4.32
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2023/02/24 00:00:00.000;4.32
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2023/02/13 00:00:00.000;4.45
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2023/02/06 00:00:00.000;4.55
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2023/07/17 00:00:00.000;4.55
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2023/07/14 00:00:00.000;4.5
