produto;classificao_produto;id_produto;uf;regiao;ano;mes;dsc_nivel_comercializacao;valor_produto_kg
20-10-10                 ;NÃO INFORMADO       ;14397;SP        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;3,54
20-10-20                 ;NÃO INFORMADO       ;4524;PB        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;3,6
20-10-20                 ;NÃO INFORMADO       ;4524;PB        ;NORDESTE       ;2026;4;PREÇO PAGO PELO PRODUTOR                                    ;3,6
21-00-21                 ;NÃO INFORMADO       ;4525;SP        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;2,6
22-00-22                 ;NÃO INFORMADO       ;11781;PB        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;3,25
22-00-22                 ;NÃO INFORMADO       ;11781;PB        ;NORDESTE       ;2026;4;PREÇO PAGO PELO PRODUTOR                                    ;3,25
2,4-D                    ;NÃO INFORMADO       ;7052;AL        ;NORDESTE       ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;34,99
2,4-D                    ;2,4 D FERSOL 867 G/L;4047;PR        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;19,96
2,4-D                    ;806 G/L 2,4-D ÁCIDO ;11566;PR        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;23,48
2,4-D                    ;2,4 D FERSOL 867 G/L;4047;PR        ;SUL            ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;22,95
2,4-D                    ;NÃO INFORMADO       ;7052;PR        ;SUL            ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;22,95
2,4-D                    ;NÃO INFORMADO       ;7052;RS        ;SUL            ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;20,04
2,4-D                    ;2,4 D FERSOL 867 G/L;4047;BA        ;NORDESTE       ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;15,0
2,4-D                    ;2,4 D FERSOL 867 G/L;4047;DF        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;20,0
2,4-D                    ;2,4 D FERSOL 867 G/L;4047;GO        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;18,65
2,4-D                    ;NÃO INFORMADO       ;7052;MS        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;23,09
2,4-D                    ;2,4 D FERSOL 867 G/L;4047;MS        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;14,3
2,4-D                    ;2,4 D FERSOL 867 G/L;4047;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;19,23
2,4-D                    ;2,4 D FERSOL 867 G/L;4047;PR        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;20,91
2,4-D                    ;NÃO INFORMADO       ;7052;RS        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;20,0
2,4-D                    ;806 G/L 2,4-D ÁCIDO ;11566;RS        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;20,0
2,4-D                    ;806 G/L 2,4-D ÁCIDO ;11566;SP        ;SUDESTE        ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;19,0
