codigo_estacao,nome,sigla_uf,regiao_inmet,lat,lon,altitude,ano_primeiro,ano_ultimo,n_anos,data_fundacao
A541,CAPELINHA,MG,SE,-17.70555555,-42.38916666,932.06,2014,2026,13,2007-08-31
A542,UNAI,MG,SE,-16.55416666,-46.88194443,640.85,2014,2026,13,2007-06-16
A543,ESPINOSA,MG,SE,-14.91222222,-42.80861111,565.36,2014,2026,13,2007-11-14
A544,BURITIS,MG,SE,-15.52416666,-46.43555555,894.0,2014,2026,13,2007-06-19
A545,PIRAPORA,MG,SE,-17.258064,-44.835556,505.32,2014,2026,13,2007-07-04
A546,GUARDA-MOR,MG,SE,-17.56138888,-47.19916666,997.01,2014,2026,13,2007-07-11
A547,SAO ROMAO,MG,SE,-16.36277777,-45.12388888,490.29,2014,2026,13,2007-06-30
A548,CHAPADA GAUCHA,MG,SE,-15.30027777,-45.61749999,873.2,2014,2025,12,2007-06-22
A549,AGUAS VERMELHAS,MG,SE,-15.75166666,-41.45777777,754.07,2014,2026,13,2007-09-09
A550,ITAOBIM,MG,SE,-16.57555554,-41.48555555,271.63,2014,2026,13,2007-09-05
A551,RIO PARDO DE MINAS,MG,SE,-15.72305554,-42.43583333,850.06,2014,2026,13,2007-11-17
A552,SALINAS,MG,SE,-16.16027777,-42.31027777,487.14,2014,2026,13,2007-09-14
A553,JOAO PINHEIRO,MG,SE,-17.78444444,-46.11944443,877.05,2014,2026,13,2007-07-07
A554,CARATINGA,MG,SE,-19.73583333,-42.13722221,609.25,2014,2026,13,2007-05-24
A555,IBIRITE (ROLA MOCA),MG,SE,-20.03138888,-44.01111111,1198.82,2014,2026,13,2008-06-06
A556,MANHUACU,MG,SE,-20.26333333,-42.18277777,819.47,2014,2026,13,2010-09-25
A557,CORONEL PACHECO,MG,SE,-21.54666666,-43.26111111,411.14,2014,2026,13,2012-10-17
A559,JANUARIA,MG,SE,-15.44805555,-44.36638888,468.0,2016,2026,11,2016-06-23
A560,POMPEU,MG,SE,-19.23249999,-44.96416666,705.0,2021,2026,6,2015-08-21
A561,SAO SEBASTIAO DO PARAISO,MG,SE,-20.91,-47.11416666,845.0,2015,2026,12,2015-08-17
A562,PATOS DE MINAS,MG,SE,-18.52055554,-46.44055555,950.0,2017,2026,10,2017-05-12
A563,NOVA PORTEIRINHA (JANAUBA),MG,SE,-15.80277777,-43.29694444,532.0,2016,2026,11,2016-11-19
A564,DIVINOPOLIS,MG,SE,-20.17333332,-44.87499999,796.0,2017,2026,10,2017-10-26
A565,BAMBUI,MG,SE,-20.0311111,-46.00888888,697.0,2016,2026,11,2016-11-23
A566,ARACUAI,MG,SE,-16.84888888,-42.03527777,308.0,2017,2026,10,2017-05-19
A567,MACHADO,MG,SE,-21.68083332,-45.94444444,969.0,2017,2026,10,2017-07-21
A568,UBERABA,MG,SE,-19.71,-47.96194444,778.0,2017,2026,10,2017-05-19
A569,SETE LAGOAS,MG,SE,-19.45527777,-44.17333332,719.0,2016,2026,11,2016-06-10
A570,OLIVEIRA,MG,SE,-20.715,-44.86444444,1025.0,2017,2026,10,2017-10-19
A571,PARACATU,MG,SE,-17.24444444,-46.88166666,705.0,2018,2026,9,2018-03-16
A572,BELO HORIZONTE - SANTO AGOSTINHO,MG,SE,-19.93388888,-43.95222222,915.47,2025,2026,2,2025-08-28
F501,BELO HORIZONTE - CERCADINHO,MG,SE,-19.97999999,-43.95861111,1199.55,2014,2026,13,2013-12-27
S122,EB_PEF_BONFIM,MG,SE,3.35888888,-59.82388888,,2016,2018,3,2016-12-01
A702,CAMPO GRANDE,MS,CO,-20.44722221,-54.72249999,528.47,2014,2026,13,2001-09-10
A703,PONTA PORA,MS,CO,-22.5525,-55.71638888,668.0,2014,2026,13,2001-09-07
A704,TRES LAGOAS,MS,CO,-20.79499999,-51.71333333,328.94,2014,2026,13,2001-09-03
A709,IVINHEMA,MS,CO,-22.30055555,-53.82277777,377.36,2014,2026,13,2003-02-08
A710,PARANAIBA,MS,CO,-19.69555555,-51.18166666,408.06,2014,2026,13,2006-11-10
A717,NHUMIRIM,MS,CO,-18.9886111,-56.62277777,102.26,2014,2026,13,2006-08-02
A719,AQUIDAUANA,MS,CO,-20.47555554,-55.78388888,151.35,2014,2026,13,2006-11-01
A720,COXIM,MS,CO,-18.51222222,-54.7361111,251.48,2014,2026,13,2006-11-06
A721,DOURADOS,MS,CO,-22.19388888,-54.91138888,463.3,2014,2026,13,2006-10-18
A722,MIRANDA,MS,CO,-20.39555555,-56.43166666,132.49,2014,2026,13,2006-11-02
A723,PORTO MURTINHO,MS,CO,-21.70583333,-57.88666666,78.56,2014,2026,13,2006-10-24
A724,CORUMBA,MS,CO,-18.99666666,-57.63749999,111.73,2014,2026,13,2006-10-26
A730,CHAPADAO DO SUL,MS,CO,-18.80222222,-52.6025,820.82,2014,2026,13,2006-12-20
A731,MARACAJU,MS,CO,-21.60916666,-55.17749999,388.94,2014,2026,13,2006-12-15
A732,SAO GABRIEL DO OESTE,MS,CO,-19.42027777,-54.55305555,646.0,2014,2026,13,2006-12-18
A742,CASSILANDIA,MS,CO,-19.12249999,-51.72083332,494.72,2014,2026,13,2008-03-08
A743,RIO BRILHANTE,MS,CO,-21.77499999,-54.52805554,324.31,2014,2026,13,2008-06-26
A749,JUTI,MS,CO,-22.85722222,-54.60555555,375.18,2014,2026,13,2008-06-16
A750,AMAMBAI,MS,CO,-23.0025,-55.32944443,433.59,2014,2026,13,2008-06-11
A751,SETE QUEDAS,MS,CO,-23.96694443,-55.02416666,398.4,2014,2026,13,2008-06-03
A752,ITAQUIRAI,MS,CO,-23.44944444,-54.18194443,337.82,2014,2026,13,2008-05-28
A754,SIDROLANDIA,MS,CO,-20.98166666,-54.97194443,471.43,2014,2026,13,2008-09-29
A756,AGUA CLARA,MS,CO,-20.44444444,-52.87583332,323.63,2014,2026,13,2010-08-14
A757,BELA VISTA,MS,CO,-22.10166666,-56.54083333,206.09,2014,2022,9,2011-08-09
A758,JARDIM,MS,CO,-21.4786111,-56.13777777,252.47,2014,2026,13,2011-08-04
A759,BATAGUASSU,MS,CO,-21.75,-52.47138888,392.13,2014,2026,13,2013-03-21
A760,COSTA RICA,MS,CO,-18.49277777,-53.17138888,727.34,2014,2026,13,2012-12-04
